estimate,target,mean,sd,bias,mae,mean.se,cov
Continuous: Slope,0.001,0.001,0.001,0,0,0.001,0.948
Binary: Levels 1-2,0.1,0.1,0.016,-0,0.012,0.015,0.945
Cat1: Levels 1-2,-0.05,-0.049,0.055,0.001,0.044,0.055,0.946
Cat1: Levels 1-3,-0.12,-0.121,0.054,-0.001,0.043,0.054,0.951
Cat1: Levels 1-4,-0.1,-0.102,0.054,-0.002,0.043,0.054,0.944
Cat1: Levels 2-3,-0.03,-0.029,0.055,0.001,0.044,0.055,0.948
Cat1: Levels 2-4,-0.1,-0.101,0.054,-0.001,0.043,0.054,0.943
Cat1: Levels 3-4,0.01,0.008,0.057,-0.002,0.045,0.055,0.942
Cat2: Levels 1-2,0.1,0.099,0.036,-0.001,0.029,0.036,0.954
Cat2: Levels 1-3,-0.08,-0.08,0.037,-0,0.029,0.037,0.946
Cat2: Levels 1-4,-0.1,-0.1,0.035,0,0.028,0.036,0.953
Cat2: Levels 2-3,0,-0,0.037,-0,0.029,0.037,0.954
Cat2: Levels 2-4,-0.04,-0.041,0.037,-0.001,0.03,0.037,0.949
Cat2: Levels 3-4,-0.06,-0.06,0.037,-0,0.029,0.037,0.944
